DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Hunger_Of_The_Void,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,1.2000000476837158,1,,0,0,0,0,0,0,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,,0,Small,Small,Small,0,0,0,0,false,0.16249999403953552,0.32499998807907104
Attack_SwipeL_01,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.8500000238418579,1,,0,1,0,10,12,10,0,0.8999999761581421,0,0.800000011920929,0,1.149999976158142,0,0.800000011920929,0,0.8999999761581421,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.3499999940395355,1,1,false,0.16249999403953552,0.32499998807907104
Attack_SwipeL_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.949999988079071,1,,0,1,0,12,15,12,0,1.100000023841858,0,0.800000011920929,0,1.2000000476837158,0,0.800000011920929,0,1.100000023841858,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.44999998807907104,1,1,false,0.16249999403953552,0.32499998807907104
Attack_SwipeR_01,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1,1,,0,1,0,11,12,11,0,1,0,0.800000011920929,0,1.100000023841858,0,0.800000011920929,0,1,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.4000000059604645,1,1,false,0.16249999403953552,0.32499998807907104
Attack_SwipeR_02,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1.100000023841858,1,,0,1,0,13,14,13,0,1.149999976158142,0,0.800000011920929,0,1.149999976158142,0,0.800000011920929,0,1.149999976158142,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.5,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Stab_01,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.0499999523162842,1,,0,2,0,14,21,14,0,1.4500000476837158,0,0.800000011920929,0,1.399999976158142,0,0.800000011920929,0,1.4500000476837158,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.6000000238418579,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Stab_02,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.149999976158142,1,,0,2,0,15,25,15,0,1.649999976158142,0,0.800000011920929,0,1.5,0,0.800000011920929,0,1.649999976158142,0,0.800000011920929,0,0,,0,Small,Small,Small,2,0.6499999761581421,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Double_Spin_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1,1,,1,1,1,13,18,13,0,1.100000023841858,0,0.800000011920929,0,0.8999999761581421,0,0.800000011920929,0,1.100000023841858,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.4000000059604645,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Double_Spin_Finisher,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.2999999523162842,1,,2,2,2,22,28,22,0,1.7999999523162842,0,0.800000011920929,0,1.5499999523162842,0,0.75,0,1.7999999523162842,0,0.800000011920929,0,0,,0,Small,Small,Small,2,0.75,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.149999976158142,1,,5,3,5,24,32,24,0,1.100000023841858,0,0.800000011920929,0,1.2000000476837158,0,0.800000011920929,0,0.8999999761581421,0,0.800000011920929,0,0,,0,Small,Small,Large,2,0.699999988079071,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Overhead_Slash_Fire,Sword,0,0,,Bullet,Heavy,Fire,,,,,,,Deflect_Default,false,1.2999999523162842,1,,2,3,2,27,30,27,0,2.200000047683716,0,0.800000011920929,0,2.3499999046325684,0,0.800000011920929,0,2.200000047683716,0,0.800000011920929,0,0,,0,Large,Large,Large,2,0.8500000238418579,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Flip_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.25,1,,2,3,2,25,34,25,0,1.2000000476837158,0,0.75,0,1,0,0.75,0,1.2000000476837158,0,0.75,0,0,,0,Small,Small,Small,2,0.699999988079071,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Flip_Overhead_Fire,Sword,0,0,,Bullet,Heavy,Fire,,,,,,,Deflect_Default,false,1.5,1,,3,4,3,32,40,32,0,2.299999952316284,0,0.75,0,2.5999999046325684,0,0.75,0,2.299999952316284,0,0.75,0,0,,0,Large,Large,Large,3,1,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Flurry_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.75,1,,0,1,0,15,12,15,0,0.8999999761581421,0,0.800000011920929,0,1.149999976158142,0,0.800000011920929,0,0.8999999761581421,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.44999998807907104,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Flurry_Finisher,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1.149999976158142,1,,2,1,2,22,18,22,0,1.25,0,0.800000011920929,0,1.399999976158142,0,0.800000011920929,0,1.25,0,0.800000011920929,0,0,,0,Small,Small,Small,2,0.550000011920929,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Upwards_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,2.200000047683716,1,,4,4,4,44,40,44,0,5.5,0,0.6000000238418579,0,4.25,0,0.6499999761581421,0,5.5,0,0.6000000238418579,0,0,,0,Large,Large,Large,4,1.5,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Upwards_Slash_Short,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.899999976158142,1,,3,4,3,36,40,36,0,0.800000011920929,0,0.75,0,1,0,0.75,0,0.800000011920929,0,0.75,0,0,,0,Large,Large,Large,4,1.350000023841858,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Shoulder_Charge,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.4000000059604645,1,,2,3,2,26,34,26,-1.100000023841858,1.899999976158142,0,0.800000011920929,-1,1.7999999523162842,0,0.800000011920929,-1.2999999523162842,1.899999976158142,0,0.800000011920929,0,0,,0,Small,Small,Small,2,0.8999999761581421,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Structure,Sword,0,0,,Bullet,Light,Siege,,,,,,,Deflect_Default,false,1.0499999523162842,1,,0,2,0,14,21,14,0,1.4500000476837158,0,0.800000011920929,0,1.399999976158142,0,0.800000011920929,0,1.4500000476837158,0,0.800000011920929,0,0,,0,Small,Small,Small,1,0.6000000238418579,1,1,false,0.16249999403953552,0.32499998807907104
