ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,TurnInTaskDescription
FM_S_0608_objective,Mission,,0,,false,true,true,FM_S_0608_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0609_objective,Mission,,0,,false,true,true,FM_S_0609_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0610_objective,Mission,,0,,false,true,true,FM_S_0610_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0601_objective,Mission,,0,,false,true,true,FM_C_0601_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0602_objective,Mission,,0,,false,true,true,FM_C_0602_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0603_objective,Mission,,0,,false,true,true,FM_C_0603_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0604_objective,Mission,,0,,false,true,true,FM_C_0604_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0605_objective,Mission,,0,,false,true,true,FM_C_0605_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0606_objective,Mission,,0,,false,true,true,FM_C_0606_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0607_objective,Mission,,0,,false,true,true,FM_C_0607_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0608_objective,Mission,,0,,false,true,true,FM_C_0608_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0609_objective,Mission,,0,,false,true,true,FM_C_0609_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0610_objective,Mission,,0,,false,true,true,FM_C_0610_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0661_objective,Mission,,0,,false,true,true,FM_0661_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0662_objective,Mission,,0,,false,true,true,FM_0662_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0663_objective,Mission,,0,,false,true,true,FM_0663_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0664_objective,Mission,,0,,false,true,true,FM_0664_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0665_objective,Mission,,0,,false,true,true,FM_0665_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0666_objective,Mission,,0,,false,true,true,FM_0666_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0667_objective,Mission,,0,,false,true,true,FM_0667_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0668_objective,Mission,,0,,false,true,true,FM_0668_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0669_objective,Mission,,0,,false,true,true,FM_0669_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0670_objective,Mission,,0,,false,true,true,FM_0670_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0661_objective,Mission,,0,,false,true,true,FM_S_0661_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0662_objective,Mission,,0,,false,true,true,FM_S_0662_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0663_objective,Mission,,0,,false,true,true,FM_S_0663_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0664_objective,Mission,,0,,false,true,true,FM_S_0664_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0665_objective,Mission,,0,,false,true,true,FM_S_0665_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0666_objective,Mission,,0,,false,true,true,FM_S_0666_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0667_objective,Mission,,0,,false,true,true,FM_S_0667_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0668_objective,Mission,,0,,false,true,true,FM_S_0668_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0669_objective,Mission,,0,,false,true,true,FM_S_0669_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0670_objective,Mission,,0,,false,true,true,FM_S_0670_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0661_objective,Mission,,0,,false,true,true,FM_C_0661_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0662_objective,Mission,,0,,false,true,true,FM_C_0662_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0663_objective,Mission,,0,,false,true,true,FM_C_0663_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0664_objective,Mission,,0,,false,true,true,FM_C_0664_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0665_objective,Mission,,0,,false,true,true,FM_C_0665_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0666_objective,Mission,,0,,false,true,true,FM_C_0666_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0667_objective,Mission,,0,,false,true,true,FM_C_0667_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0668_objective,Mission,,0,,false,true,true,FM_C_0668_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0669_objective,Mission,,0,,false,true,true,FM_C_0669_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_C_0670_objective,Mission,,0,,false,true,true,FM_C_0670_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_H_01_objective,Mission,,0,,false,true,true,FM_06_H_01_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_H_02_objective,Mission,,0,,false,true,true,FM_06_H_02_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_H_03_objective,Mission,,0,,false,true,true,FM_06_H_03_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_EXP_01_objective,Mission,,0,,false,true,true,FM_06_EXP_01_container,,0,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_EXP_02_objective,Mission,,0,,false,true,true,FM_06_EXP_02_container,,0,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_06_EXP_03_objective,Mission,,0,,false,true,true,FM_06_EXP_03_container,,0,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
