TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
FM_1303_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1303_tasks_first_container,M_ReturnToGiver,,,
FM_1303_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1303_leg_A_task,FM_1303_leg_B_task,FM_1303_leg_C_task,,
FM_1303_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1303_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_farm_mill_50202,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1303_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50207,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1304_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1304_tasks_first_container,M_ReturnToGiver,,,
FM_1304_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1304_leg_A_task,FM_1304_leg_B_task,FM_1304_leg_C_task,,
FM_1304_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50211,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1304_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50204,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1304_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1305_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1305_tasks_first_container,M_ReturnToGiver,,,
FM_1305_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1305_leg_A_task,FM_1305_leg_B_task,FM_1305_leg_C_task,,
FM_1305_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50235,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1305_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50211,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1305_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1306_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1306_tasks_first_container,M_ReturnToGiver,,,
FM_1306_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1306_leg_A_task,FM_1306_leg_B_task,FM_1306_leg_C_task,,
FM_1306_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1306_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_farm_mill_50202,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1306_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50235,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1307_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1307_tasks_first_container,M_ReturnToGiver,,,
FM_1307_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1307_leg_A_task,FM_1307_leg_B_task,FM_1307_leg_C_task,,
FM_1307_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1307_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1307_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50201,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1308_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1308_tasks_first_container,M_ReturnToGiver,,,
FM_1308_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1308_leg_A_task,FM_1308_leg_B_task,FM_1308_leg_C_task,,
FM_1308_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1308_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,haunted_town_50216,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1308_leg_C_task,TaskKillContribution,,0,5,,,0,0,true,,crater_corruptedruinedfort_50335,,true,0,,,,,,,,,Corrupted,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1309_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1309_tasks_first_container,M_ReturnToGiver,,,
FM_1309_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1309_leg_A_task,FM_1309_leg_B_task,FM_1309_leg_C_task,,
FM_1309_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1309_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1309_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50216,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1310_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1310_tasks_first_container,M_ReturnToGiver,,,
FM_1310_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1310_leg_A_task,FM_1310_leg_B_task,FM_1310_leg_C_task,,
FM_1310_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1310_leg_B_task,TaskKillContribution,,0,3,,,0,0,false,,wolf_den_50303,,true,0,,,,,,,,,Wolf_Black_13WF05,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1310_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50201,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1301_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1301_tasks_first_container,M_ReturnToGiver,,,
FM_S_1301_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1301_leg_A_task,FM_S_1301_leg_B_task,FM_S_1301_leg_C_task,,
FM_S_1301_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1301_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50223,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1301_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50205,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1302_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1302_tasks_first_container,M_ReturnToGiver,,,
FM_S_1302_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1302_leg_A_task,FM_S_1302_leg_B_task,FM_S_1302_leg_C_task,,
FM_S_1302_leg_A_task,TaskKillContribution,,0,6,,,0,0,true,,abandoned_fishing_village_50206,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1302_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1302_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50203,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1303_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1303_tasks_first_container,M_ReturnToGiver,,,
FM_S_1303_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1303_leg_A_task,FM_S_1303_leg_B_task,FM_S_1303_leg_C_task,,
FM_S_1303_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1303_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_farm_mill_50202,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1303_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50207,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1304_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1304_tasks_first_container,M_ReturnToGiver,,,
FM_S_1304_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1304_leg_A_task,FM_S_1304_leg_B_task,FM_S_1304_leg_C_task,,
FM_S_1304_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50211,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1304_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50204,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1304_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1305_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1305_tasks_first_container,M_ReturnToGiver,,,
FM_S_1305_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1305_leg_A_task,FM_S_1305_leg_B_task,FM_S_1305_leg_C_task,,
FM_S_1305_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50235,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1305_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50211,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1305_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1306_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1306_tasks_first_container,M_ReturnToGiver,,,
FM_S_1306_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1306_leg_A_task,FM_S_1306_leg_B_task,FM_S_1306_leg_C_task,,
FM_S_1306_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_bridge_50215,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1306_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_farm_mill_50202,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1306_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,ancient_ruins_50235,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1307_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1307_tasks_first_container,M_ReturnToGiver,,,
FM_S_1307_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1307_leg_A_task,FM_S_1307_leg_B_task,FM_S_1307_leg_C_task,,
FM_S_1307_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1307_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1307_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50201,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1308_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1308_tasks_first_container,M_ReturnToGiver,,,
FM_S_1308_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1308_leg_A_task,FM_S_1308_leg_B_task,FM_S_1308_leg_C_task,,
FM_S_1308_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1308_leg_B_task,TaskKillContribution,,0,5,,,0,0,true,,haunted_town_50216,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1308_leg_C_task,TaskKillContribution,,0,5,,,0,0,true,,crater_corruptedruinedfort_50335,,true,0,,,,,,,,,Corrupted,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1309_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1309_tasks_first_container,M_ReturnToGiver,,,
FM_S_1309_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1309_leg_A_task,FM_S_1309_leg_B_task,FM_S_1309_leg_C_task,,
FM_S_1309_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1309_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50208,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1309_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50216,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1310_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_S_1310_tasks_first_container,M_ReturnToGiver,,,
FM_S_1310_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_S_1310_leg_A_task,FM_S_1310_leg_B_task,FM_S_1310_leg_C_task,,
FM_S_1310_leg_A_task,TaskKillContribution,,0,5,,,0,0,true,,weaversfen_temple_50338,,true,0,,,,,,,,,Ancient,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1310_leg_B_task,TaskKillContribution,,0,3,,,0,0,false,,wolf_den_50303,,true,0,,,,,,,,,Wolf_Black_13WF05,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_S_1310_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,haunted_town_50201,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
