TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99C_MSQ_01_Periville_lore2_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_readLore2,99C_MSQ_01_Periville_voicedLore2,,,
99C_MSQ_01_Periville_readLore2,TaskAchievement,,0,,1,Lore_unlock_13_WeaversFen_Title_11_02,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readLore2,,10823.51 5586.98 84.52,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore2,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Morgaine_VoicedLoreNote_02_interact,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_coffinC_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_interactCoffinC,99C_MSQ_01_Periville_animateCoffinC,,,
99C_MSQ_01_Periville_interactCoffinC,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_ShakingCoffinC,,,IO_99C_MSQ2_ShakingCoffinC_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactCoffin,,10836.32 5601.42 85.13,0,false,true,0,,,,,,,,,,,,
99C_MSQ_01_Periville_animateCoffinC,TaskUnlockAchievement,,0,,1,Unlock_Animation_CoffinCShake,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_coffinB_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_interactCoffinB,99C_MSQ_01_Periville_animateCoffinB,,,
99C_MSQ_01_Periville_interactCoffinB,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_ShakingCoffinB,,,IO_99C_MSQ2_ShakingCoffinB_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactCoffin,,10879.80 5565.78 84.14,0,false,true,0,,,,,,,,,,,,
99C_MSQ_01_Periville_animateCoffinB,TaskUnlockAchievement,,0,,1,Unlock_Animation_CoffinBShake,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_coffinA_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_interactCoffinA,99C_MSQ_01_Periville_animateCoffinA,,,
99C_MSQ_01_Periville_interactCoffinA,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_ShakingCoffinA,,,IO_99C_MSQ2_ShakingCoffinA_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactCoffin,,10911.04 5584.51 83.97,0,false,true,0,,,,,,,,,,,,
99C_MSQ_01_Periville_animateCoffinA,TaskUnlockAchievement,,0,,1,Unlock_Animation_CoffinAShake,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_lore3_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_readLore3,99C_MSQ_01_Periville_voicedLore3,99C_MSQ_01_Periville_giveJournal,,
99C_MSQ_01_Periville_readLore3,TaskAchievement,,0,,1,Lore_unlock_13_WeaversFen_Title_11_03,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readLore2,,10942.26 5563.31 87.37,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore3,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Morgaine_VoicedLoreNote_03_interact,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_giveJournal,TaskGiveAndTakeItem,,0,,1,99C_MSQ_01_CorpseCroneJournal,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_journal_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_takeJournal,99C_MSQ_01_Periville_lore4_container,,,
99C_MSQ_01_Periville_takeJournal,TaskHaveAndReturnItems,,1,,1,99C_MSQ_01_CorpseCroneJournal,,0,,false,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_takeJournal,,,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_lore4_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_returnToGalahad,99C_MSQ_01_Periville_readWantedNote,99C_MSQ_01_Periville_voicedLore4,,
99C_MSQ_01_Periville_returnToGalahad,TaskTriggerArea,,0,,1,,,0,,false,,,,,false,false,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Galahad_Trigger,@99C_MSQ_01_Periville_takeJournal,,10963.44 5435.88 74.86,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_readWantedNote,TaskAchievement,,0,,1,Lore_unlock_13_WeaversFen_Title_11_04,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readWantedNote,,10966.85 5439.79 76.93,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore4,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Morgaine_VoicedLoreNote_04_interact,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,0,,,,,,,,99C_MSQ_02_Karburg_travel_container,99C_MSQ_02_Karburg_cinematic_container,99C_MSQ_02_Karburg_waveEvent_container,99C_MSQ_02_Karburg_waveEvent_container2,99C_MSQ_02_Karburg_wavecomplete_checkFinal
99C_MSQ_02_Karburg_travel_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_02_Karburg_GoToPOI,99C_MSQ_02_Karburg_swap_container,,,
99C_MSQ_02_Karburg_GoToPOI,TaskGoToPOITag,,0,,0,,,0,,true,,abandoned_fishing_village_50208,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_GoToPOI,,,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_swap_container,SimpleTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_02_Karburg_swapGalahadB_Off,99C_MSQ_02_Karburg_swapGalahadC_On,,,
99C_MSQ_02_Karburg_swapGalahadB_Off,TaskLockAchievement,,0,,0,SwapActive_99C_Galahad_B,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_swapGalahadC_On,TaskUnlockAchievement,,0,,0,SwapActive_99C_Galahad_C,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_cinematic_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_02_Karburg_cinematicTrigger,99C_MSQ_02_Karburg_deactivateGlyphs,99C_MSQ_02_Karburg_trigger_whispers,,
99C_MSQ_02_Karburg_cinematicTrigger,TaskTriggerArea,,0,,1,,,0,,false,,,,,false,false,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Karburg_Cinematic_Trigger,@99C_MSQ_02_Karburg_cinematicTrigger,,10984.05 5339.37 75.0,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_deactivateGlyphs,TaskGameEvent,,0,,7,,,0,,false,,abandoned_fishing_village_50208,,,false,false,,,,,,IO_99C_MSQ2_WitchyGlyph,,,IO_99C_MSQ2_WitchyGlyph_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_deactivateGlyphs,,,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_trigger_whispers,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Isabella_whisper_WF_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,true,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_waveEvent_container,PartialTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_02_Karburg_waveEvent,99C_MSQ_02_Karburg_killFirstWave,99C_MSQ_02_Karburg_killFinalWave,,
99C_MSQ_02_Karburg_waveEvent,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,IO_99C_MSQ2_AncientDevice_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_waveEvent,,10926.22 5290.55 70.68,0,false,true,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_killFirstWave,TaskKillContribution,,0,,2,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,Undead_Javelineer,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_killFirstWave,,10926.22 5290.55 70.68,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_killFinalWave,TaskKillContribution,,0,,2,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,Undead_Hunter,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_killFinalWave,,10926.22 5290.55 70.68,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_waveEvent_container2,PartialTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_02_Karburg_killFirstWave_check2,99C_MSQ_02_Karburg_killFinalWave_check2,,,
99C_MSQ_02_Karburg_killFirstWave_check2,TaskKillContribution,,0,,2,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,Undead_Javelineer,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_killFirstWave,,10926.22 5290.55 70.68,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_killFinalWave_check2,TaskKillContribution,,0,,2,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,Undead_Hunter,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_killFinalWave,,10926.22 5290.55 70.68,0,false,false,0,,,,,,,,,,,,
99C_MSQ_02_Karburg_wavecomplete_checkFinal,TaskKillContribution,,0,,2,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_AncientDevice,,,Undead_Hunter,,,,,,,,,,,,,,,,,,,,@99C_MSQ_02_Karburg_killFinalWave,,10926.22 5290.55 70.68,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_travel_container,99C_MSQ_03_AncientBridge_swap_container,99C_MSQ_03_AncientBridge_lore1_container,99C_MSQ_03_AncientBridge_treasure_container,99C_MSQ_03_AncientBridge_taken_container
99C_MSQ_03_AncientBridge_travel_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_reset_container,99C_MSQ_03_AncientBridge_orb_container,99C_MSQ_03_AncientBridge_climbing_container,,
99C_MSQ_03_AncientBridge_reset_container,SimpleTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_resetOrbA,99C_MSQ_03_AncientBridge_resetOrbB,99C_MSQ_03_AncientBridge_resetOrbC,99C_MSQ_03_AncientBridge_resetOrbD,
99C_MSQ_03_AncientBridge_resetOrbA,TaskLockAchievement,,0,,1,Unlock_Animation_OrbMovementA,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_resetOrbB,TaskLockAchievement,,0,,1,Unlock_Animation_OrbMovementB,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_resetOrbC,TaskLockAchievement,,0,,1,Unlock_Animation_OrbMovementC,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_resetOrbD,TaskLockAchievement,,0,,1,Unlock_Animation_OrbMovementD,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_orb_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_orbA_container,99C_MSQ_03_AncientBridge_orbB_container,99C_MSQ_03_AncientBridge_orbC_container,99C_MSQ_03_AncientBridge_orbD_container,
99C_MSQ_03_AncientBridge_orbA_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_interactOrbA,99C_MSQ_03_AncientBridge_moveOrbA,,,
99C_MSQ_03_AncientBridge_interactOrbA,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_GlowingOrbsA,,,IO_99C_MSQ2_GlowingOrbsA_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_bridgetrigger1,,11256.88 5310.86 59.74,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_moveOrbA,TaskUnlockAchievement,,0,,1,Unlock_Animation_OrbMovementA,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_orbB_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_interactOrbB,99C_MSQ_03_AncientBridge_moveOrbB,,,
99C_MSQ_03_AncientBridge_interactOrbB,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_GlowingOrbsB,,,IO_99C_MSQ2_GlowingOrbsB_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_interactFootprints,,11263.75 5365.19 80.06,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_moveOrbB,TaskUnlockAchievement,,0,,1,Unlock_Animation_OrbMovementB,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_orbC_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_interactOrbC,99C_MSQ_03_AncientBridge_moveOrbC,,,
99C_MSQ_03_AncientBridge_interactOrbC,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_GlowingOrbsC,,,IO_99C_MSQ2_GlowingOrbsC_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_interactFootprints,,11302.70 5452.95 80.01,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_moveOrbC,TaskUnlockAchievement,,0,,1,Unlock_Animation_OrbMovementC,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_orbD_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_interactOrbD,99C_MSQ_03_AncientBridge_moveOrbD,,,
99C_MSQ_03_AncientBridge_interactOrbD,TaskGameEvent,,0,,1,,,0,,false,,,,,false,false,,,,,,IO_99C_MSQ2_GlowingOrbsD,,,IO_99C_MSQ2_GlowingOrbsD_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_interactFootprints,,11352.36 5550.51 80.05,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_moveOrbD,TaskUnlockAchievement,,0,,1,Unlock_Animation_OrbMovementD,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_climbing_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_GoToPOI,99C_MSQ_03_AncientBridge_bridgetrigger2,99C_MSQ_03_AncientBridge_bridgetrigger3,,
99C_MSQ_03_AncientBridge_GoToPOI,TaskGoToPOITag,,0,,0,,,0,,true,,ancient_bridge_50215,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_GoToPOI,,,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_bridgetrigger2,TaskTriggerArea,,0,,1,,,0,,false,,,,,false,false,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Bridge_2_Trigger,@99C_MSQ_03_AncientBridge_GoToPOI,,11371.43 5556.44 82.07,0,false,true,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_bridgetrigger3,TaskTriggerArea,,0,,1,,,0,,false,,,,,false,false,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Bridge_3_Trigger,@99C_MSQ_03_AncientBridge_bridgetrigger3,,11383.77 5562.19 101.21,0,false,true,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_swap_container,SimpleTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_swapGalahadC_Off,99C_MSQ_03_AncientBridge_swapGalahadD_On,,,
99C_MSQ_03_AncientBridge_swapGalahadC_Off,TaskLockAchievement,,0,,0,SwapActive_99C_Galahad_C,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_swapGalahadD_On,TaskUnlockAchievement,,0,,0,SwapActive_99C_Galahad_D,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_lore1_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_03_AncientBridge_readLore1,99C_MSQ_03_AncientBridge_voicedLore1,99C_MSQ_03_AncientBridge_bridgetrigger4,99C_MSQ_03_AncientBridge_talk_GraceOMalley,
99C_MSQ_03_AncientBridge_readLore1,TaskAchievement,,0,,0,Lore_unlock_13_WeaversFen_Title_11_05,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_readLore1,,11370.3 5569.7 98.88,0,false,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_voicedLore1,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Morgaine_VoicedLoreNote_05_interact,,,,,,,,,,,,,,,,,,,,,,,1,true,false,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_bridgetrigger4,TaskTriggerArea,,0,,1,,,0,,false,,,,,false,false,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Bridge_4_Trigger,@99C_MSQ_03_AncientBridge_bridgetrigger3,,11345.90 5561.95 106.63,0,false,true,0,,,,,,,,,,,,
99C_MSQ_03_AncientBridge_talk_GraceOMalley,TaskConversationTopic,,0,,1,99C_Grace,,0,,false,,,,,false,false,,,,,,,99C_MSQ_03_Grace_OpenChest,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_03_AncientBridge_talk_GraceOMalley,,11350.17 5561.76 108.22,0,false,false,0,,,,,,,,,,,,
