GatherableID,DisplayName,GatheringAction,GatheringType,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
99E_MSQ_02_MyrddinRelicB,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_02_MyrddinRelicC,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveA,@99E_MSQ_02_ExamineEtchings_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveB,@99E_MSQ_02_ExamineMaterials_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveC,@99E_MSQ_02_ExamineEquipment_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_04_AzothCompassA,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_04_AzothCompassB,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_04_AzothCompassC,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_IGC_PrisonReveal,,None,None,,,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_IGC_PrisonReveal_interact,0,,,false,false,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceA,@99E_MSQ_05_MyrddinDeviceA_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB,@99E_MSQ_05_MyrddinDeviceB_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB_Left,@99E_MSQ_05_MyrddinDeviceB_Sides_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_Left_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB_Right,@99E_MSQ_05_MyrddinDeviceB_Sides_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_Right_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_05_Tele_TowerPortal,@99E_MSQ_05_EnterPortal_DisplayName,None,None,,Empty,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_05_Tele_TowerPortal_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_06_Tele_PrisonPortal,@99E_MSQ_05_EnterPortal_DisplayName,None,None,,Empty,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_06_Tele_PrisonPortal_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_06_IGC_MyrdArgument,,None,None,,,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_06_IGC_MyrdArgument_interact,0,,,false,false,true,,false,,,false,,,,,,,,,,
99E_MSQ_07_Obs_MineDetailsA,@99E_MSQ_07_ExamineWalls_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_07_Obs_MineDetailsA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_07_Obs_MineDetailsB,@99E_MSQ_07_ExamineTools_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_07_Obs_MineDetailsB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_07_StaffHeadpiece,@99E_MSQ_07_RetrieveStaff_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_07_StaffHeadpiece_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_07_Prox_StaffEncounter,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_07_Prox_StaffEncounter_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_08_Obs_AELocationA,@99E_MSQ_08_ExamineArea_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_08_Obs_AELocationA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_08_Obs_AELocationB,@99E_MSQ_08_ExamineArea_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_08_Obs_AELocationB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_09_ORI_CorruptStaff,@99E_MSQ_09_PlaceCorrStaff_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_09_ORI_CorruptStaff_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_09_ORI_PureStaff,@99E_MSQ_09_TakePureStaff_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_09_ORI_PureStaff_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_09_Prox_IsabellaImage,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_09_Prox_IsabellaImage_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_10_Cine_BrokenPole,@99E_MSQ_09_BrokenPole_DisplayName,None,None,,Empty,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_10_Cine_BrokenPole_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
