ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
ThespianFeet,@ThespianFeet_MasterName,Armor,,@ThespianFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,TwitchArmor_Boots,F_TwitchArmor_Boots,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
VioletRage,@VioletRage_MasterName,Weapon,,@VioletRage_Description,EquippableMainHand+Sword+Melee,,,,0,0,0,0,0,0,Skin_Longsword,,,,0,0,,,,,,,,,,,0,,0,0,0,Longsword,UI_Weapon,,,VioletRage,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicFoxHead,@RunicFoxHead_MasterName,Armor,,@RunicFoxHead_Description,EquippableHead,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_light_head,f_viking_light_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicFoxChest,@RunicFoxChest_MasterName,Armor,,@RunicFoxChest_Description,EquippableChest,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_light_chest,f_viking_light_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicFoxHands,@RunicFoxHands_MasterName,Armor,,@RunicFoxHands_Description,EquippableHands,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_light_hands,f_viking_light_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicFoxLegs,@RunicFoxLegs_MasterName,Armor,,@RunicFoxLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_light_legs,f_viking_light_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicFoxFeet,@RunicFoxFeet_MasterName,Armor,,@RunicFoxFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_light_feet,f_viking_light_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicJackalHead,@RunicJackalHead_MasterName,Armor,,@RunicJackalHead_Description,EquippableHead,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,HeadHat,,m_viking_medium_head,f_viking_medium_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicJackalChest,@RunicJackalChest_MasterName,Armor,,@RunicJackalChest_Description,EquippableChest,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,m_viking_medium_chest,f_viking_medium_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicJackalHands,@RunicJackalHands_MasterName,Armor,,@RunicJackalHands_Description,EquippableHands,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_medium_hands,f_viking_medium_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicJackalLegs,@RunicJackalLegs_MasterName,Armor,,@RunicJackalLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_medium_legs,f_viking_medium_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicJackalFeet,@RunicJackalFeet_MasterName,Armor,,@RunicJackalFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_medium_feet,f_viking_medium_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicBearHead,@RunicBearHead_MasterName,Armor,,@RunicBearHead_Description,EquippableHead,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_heavy_head,f_viking_heavy_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicBearChest,@RunicBearChest_MasterName,Armor,,@RunicBearChest_Description,EquippableChest,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,m_viking_heavy_chest,f_viking_heavy_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicBearHands,@RunicBearHands_MasterName,Armor,,@RunicBearHands_Description,EquippableHands,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_heavy_hands,f_viking_heavy_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicBearLegs,@RunicBearLegs_MasterName,Armor,,@RunicBearLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_heavy_legs,f_viking_heavy_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RunicBearFeet,@RunicBearFeet_MasterName,Armor,,@RunicBearFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_viking_heavy_feet,f_viking_heavy_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
HowlatDawn,@HowlatDawn_MasterName,Weapon,,@HowlatDawn_Description,EquippableMainHand+Sword+Melee,,,,0,0,0,0,0,0,Skin_Longsword,,,,0,0,,,,,,,,,,,0,,0,0,0,Longsword,UI_Weapon,,,HowlatDawn,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
DragonsCoil,@DragonsCoil_MasterName,Weapon,,@DragonsCoil_Description,EquippableOffHand+Shield,,,,0,0,0,0,0,0,Skin_Shield,,,,0,0,,,,,,,,,,,0,,0,0,0,RoundShield,UI_Weapon,,,DragonsCoil,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
TwinWolves,@TwinWolves_MasterName,Weapon,,@TwinWolves_Description,EquippableTwoHand+2HHammer+Melee,,,,0,0,0,0,0,0,Skin_WarHammer,,,,0,0,,,,,,,,,,,0,,0,0,0,WarHammer,UI_Weapon,,,TwinWolves,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
CrescentFang,@CrescentFang_MasterName,Weapon,,@CrescentFang_Description,EquippableMainHand+Hatchet+Melee,,,,0,0,0,0,0,0,Skin_Hatchet,,,,0,0,,,,,,,,,,,0,,0,0,0,ThrowingAxe,UI_Weapon,,,CrescentFang,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Gallantry,@Gallantry_MasterName,Weapon,,@Gallantry_Description,EquippableMainHand+Sword+Melee,,,,0,0,0,0,0,0,Skin_Longsword,,,,0,0,,,,,,,,,,,0,,0,0,0,Longsword,UI_Weapon,,,Gallantry,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Crestoftheallsight,@Crestoftheallsight_MasterName,Weapon,,@Crestoftheallsight_Description,EquippableOffHand+Shield,,,,0,0,0,0,0,0,Skin_Shield,,,,0,0,,,,,,,,,,,0,,0,0,0,KiteShield,UI_Weapon,,,Crestoftheallsight,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
GoldenColt,@GoldenColt_MasterName,Weapon,,@GoldenColt_Description,EquippableMainHand+FireStaff+Magic,,,,0,0,0,0,0,0,Skin_FireStaff,,,,0,0,,,,,,,,,,,0,,0,0,0,StaffFire,UI_Weapon,,,GoldenColt,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WickedTyrant,@WickedTyrant_MasterName,Weapon,,@WickedTyrant_Description,EquippableTwoHand+2HAxe+Melee,,,,0,0,0,0,0,0,Skin_GreatAxe,,,,0,0,,,,,,,,,,,0,,0,0,0,GreatAxe,UI_Weapon,,,WickedTyrant,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
MonarchsMight,@MonarchsMight_MasterName,Weapon,,@MonarchsMight_Description,EquippableTwoHand+2HHammer+Melee,,,,0,0,0,0,0,0,Skin_WarHammer,,,,0,0,,,,,,,,,,,0,,0,0,0,WarHammer,UI_Weapon,,,MonarchsMight,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_Bow_RoyalCourt,@Skin_Bow_RoyalCourt_MasterName,Weapon,,@Skin_Bow_RoyalCourt_Description,EquippableTwoHand+Bow+Ranged,,,,0,0,0,0,0,0,Skin_Bow,,,,0,0,,,,,,,,,,,0,,0,0,0,Bow,UI_Weapon,,,2hBowRoyalcourtT5,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
GraveStakes,@GraveStakes_MasterName,Weapon,,@GraveStakes_Description,EquippableMainHand+Sword+Melee,,,,0,0,0,0,0,0,Skin_Longsword,,,,0,0,,,,,,,,,,,0,,0,0,0,Longsword,UI_Weapon,,,GraveStakes,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_IceGauntlet,@Skin_RoyalCourt_IceGauntlet_MasterName,Weapon,,@Skin_RoyalCourt_IceGauntlet_Description,EquippableMainHand+IceMagic+Magic,,,,0,0,0,0,0,0,Skin_IceGauntlet,,,,0,0,,,,,,,,,,,0,,0,0,0,Gauntlet,UI_Weapon,,,1hicegauntletRoyalcourtT5,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_Tiara,@RoyalCourtTiara_MasterName,Armor,,@RoyalCourtTiara_Description,EquippableHead,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalCourtTiara_head,f_royalCourtTiara_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_Crown,@RoyalCourtCrown_MasterName,Armor,,@RoyalCourtCrown_Description,EquippableHead,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalCourtCrown_head,f_royalCourtCrown_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtLightHead,@RoyalCourtLightHead_MasterName,Armor,,@RoyalCourtLightHead_Description,EquippableHead,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_light_head,f_royalcourt_light_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtLightChest,@RoyalCourtLightChest_MasterName,Armor,,@RoyalCourtLightChest_Description,EquippableChest,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,m_royalcourt_light_chest,f_royalcourt_light_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtLightHands,@RoyalCourtLightHands_MasterName,Armor,,@RoyalCourtLightHands_Description,EquippableHands,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_light_hands,f_royalcourt_light_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtLightLegs,@RoyalCourtLightLegs_MasterName,Armor,,@RoyalCourtLightLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_light_legs,f_royalcourt_light_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtLightFeet,@RoyalCourtLightFeet_MasterName,Armor,,@RoyalCourtLightFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_light_feet,f_royalcourt_light_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtMediumHead,@RoyalCourtMediumHead_MasterName,Armor,,@RoyalCourtMediumHead_Description,EquippableHead,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_medium_head,f_royalcourt_medium_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtMediumChest,@RoyalCourtMediumChest_MasterName,Armor,,@RoyalCourtMediumChest_Description,EquippableChest,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,m_royalcourt_medium_chest,f_royalcourt_medium_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtMediumHands,@RoyalCourtMediumHands_MasterName,Armor,,@RoyalCourtMediumHands_Description,EquippableHands,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_medium_hands,f_royalcourt_medium_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtMediumLegs,@RoyalCourtMediumLegs_MasterName,Armor,,@RoyalCourtMediumLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_medium_legs,f_royalcourt_medium_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtMediumFeet,@RoyalCourtMediumFeet_MasterName,Armor,,@RoyalCourtMediumFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_medium_feet,f_royalcourt_medium_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtHeavyHead,@RoyalCourtHeavyHead_MasterName,Armor,,@RoyalCourtHeavyHead_Description,EquippableHead,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_heavy_head,f_royalcourt_heavy_head,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtHeavyChest,@RoyalCourtHeavyChest_MasterName,Armor,,@RoyalCourtHeavyChest_Description,EquippableChest,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,m_royalcourt_heavy_chest,f_royalcourt_heavy_chest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtHeavyHands,@RoyalCourtHeavyHands_MasterName,Armor,,@RoyalCourtHeavyHands_Description,EquippableHands,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_heavy_hands,f_royalcourt_heavy_hands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtHeavyLegs,@RoyalCourtHeavyLegs_MasterName,Armor,,@RoyalCourtHeavyLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_heavy_legs,f_royalcourt_heavy_legs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
RoyalCourtHeavyFeet,@RoyalCourtHeavyFeet_MasterName,Armor,,@RoyalCourtHeavyFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,,0,0,0,,,m_royalcourt_heavy_feet,f_royalcourt_heavy_feet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_AzothScepter,@Skin_RoyalCourt_AzothScepter_Name,Weapon,,@Skin_RoyalCourt_AzothScepter_Description,Weapon+EquippableTool+Axe+AzothStaff,,,,0,0,0,0,0,0,Skin_AzothStaff,,,,0,0,,,,,,,,,,,0,,0,0,0,AzothStaff,UI_Tools,,,2hAzothScepterRoyalCourtT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_FishingPole,@Skin_RoyalCourt_FishingPole_Name,Weapon,,@Skin_RoyalCourt_FishingPole_Description,EquippableTool+FishingPole,,,,0,0,0,0,0,0,Skin_FishingPole,,,,0,0,,,,,,,,,,,0,,0,0,0,FishingPole,UI_Tools,,,2hFishingPole_RoyalCourt,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_LoggingAxe,@Skin_RoyalCourt_LoggingAxe_Name,Weapon,,@Skin_RoyalCourt_LoggingAxe_Description,EquippableTool+Axe+LoggingAxe,,,,0,0,0,0,0,0,Skin_LoggingAxe,,,,0,0,,,,,,,,,,,0,,0,0,0,2hLoggingAxe,UI_Tools,,,2hLoggingAxeRoyalCourtT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_SkinningKnife,@Skin_RoyalCourt_SkinningKnife_Name,Weapon,,@Skin_RoyalCourt_SkinningKnife_Description,EquippableTool+Axe+SkinningKnife,,,,0,0,0,0,0,0,Skin_SkinningKnife,,,,0,0,,,,,,,,,,,0,,0,0,0,SkinningKnife,UI_Tools,,,1hSkinningKnifeRoyalCourtT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_Sickle,@Skin_RoyalCourt_Sickle_Name,Weapon,,@Skin_RoyalCourt_Sickle_Description,EquippableTool+Axe+Sickle,,,,0,0,0,0,0,0,Skin_Sickle,,,,0,0,,,,,,,,,,,0,,0,0,0,Sickle,UI_Tools,,,1hSickleRoyalCourtT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Skin_RoyalCourt_Pickaxe,@Skin_RoyalCourt_Pickaxe_Name,Weapon,,@Skin_RoyalCourt_Pickaxe_Description,EquippableTool+Axe+Pickaxe,,,,0,0,0,0,0,0,Skin_Pick,,,,0,0,,,,,,,,,,,0,,0,0,0,2hPickAxe,UI_Tools,,,1hPickaxeRoyalCourtT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
