SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,MaintainDistanceFromGround,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Rune_FireStorm_AoE_Friendly,Rune_FireStorm_Empower,6,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Enemy,Rune_FireStorm_DoT,6,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Greater,,,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,20,1.5,0,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,Rune_FireStorm_AoE_Greater_Enemy,,Rune_FireStorm_AoE_Greater_Friendly
Rune_FireStorm_AoE_Greater_Friendly,"Rune_FireStorm_Empower,Status_Rune_FireStorm_Greater","6,8",,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Greater_Enemy,Rune_FireStorm_DoT,6,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Survivor,,,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,20,1.5,0,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,Rune_FireStorm_AoE_Survivor_Enemy,,Rune_FireStorm_AoE_Survivor_Friendly
Rune_FireStorm_AoE_Survivor_Friendly,"Rune_FireStorm_Empower,Status_Rune_FireStorm_Survivor_Cleanse","6,0.1",,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Survivor_Enemy,Status_Rune_FireStorm_Survivor_DoT,6,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE,,,,,Items/Weapons/Rune_FireStorm,,,,
Rune_FireStorm_AoE_Dominator,,,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,20,1.5,0,,,0,,,,,,,,,,,All,Ability,Projectile,,,Sphere,,true,true,true,false,false,heart-gem-slot,Rune_FireStorm,Tornado,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE_Dominator,,,,,Items/Weapons/Rune_FireStorm_Dominator,,Rune_FireStorm_AoE_Dominator_Enemy,,Rune_FireStorm_AoE_Dominator_Friendly
Rune_FireStorm_AoE_Dominator_Friendly,Rune_FireStorm_Empower,6,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Rune_FireStorm_Dominator,,,,
Rune_FireStorm_AoE_Dominator_Enemy,Status_Rune_FireStorm_Major,8,,,false,false,false,,,,,false,,,,false,,false,false,,false,10000,,1,,2,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,false,false,false,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Rune_FireStorm_AOE_Dominator,,,,,Items/Weapons/Rune_FireStorm_Dominator,,,,
