ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Skin_Chest_Baalphazu,@Skin_Chest_Baalphazu_MasterName,Armor,,@Skin_Chest_Baalphazu_Description,EquippableChest,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_NightveilBaalphazu_chest,f_NightveilBaalphazu_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,NightveilHallow_2022
Skin_Head_Baalphazu,@Skin_Head_Baalphazu_MasterName,Armor,,@Skin_Head_Baalphazu_Description,EquippableHead,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_NightveilBaalphazu_head,f_NightveilBaalphazu_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,NightveilHallow_2022
Skin_Head_HallowMaskSkull,@Skin_Head_HallowMaskSkull_MasterName,Armor,,@Skin_Head_HallowMaskSkull_Description,EquippableHead,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_NightveilSkull_head,f_NightveilSkull_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,NightveilHallow_2022
Skin_Head_HallowMaskJack,@Skin_Head_HallowMaskJack_MasterName,Armor,,@Skin_Head_HallowMaskJack_Description,EquippableHead,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_NightveilJackOLantern_head,f_NightveilJackOLantern_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,NightveilHallow_2022
Skin_Head_HallowMaskWitch,@Skin_Head_HallowMaskWitch_MasterName,Armor,,@Skin_Head_HallowMaskWitch_Description,EquippableHead,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_NightveilWitchHat_head,f_NightveilWitchHat_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,NightveilHallow_2022
Skin_Feet_TurkeyTerror,@Skin_Feet_TurkeyTerror_MasterName,Armor,,@Skin_Feet_TurkeyTerror_Description,EquippableFeet,,,,1,,,,,0,GenericItemSkin,,,,,,,,,,,,,,,,,,0,0,0,,m_TurkeyTerror_feet,f_TurkeyTerror_feet,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,TurkeyTerror_2022
Skin_WinterConvergence_SkinningKnife,@Skin_WinterConvergence_SkinningKnife_Name,Weapon,,@Skin_WinterConvergence_SkinningKnife_Description,EquippableTool+Axe+SkinningKnife,,,,0,,,,,0,Skin_SkinningKnife,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,1hSkinningKnifeWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_WinterConvergence_Sickle,@Skin_WinterConvergence_Sickle_Name,Weapon,,@Skin_WinterConvergence_Sickle_Description,EquippableTool+Axe+Sickle,,,,0,,,,,0,Skin_Sickle,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,1hSickleWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_WinterConvergence_Pickaxe,@Skin_WinterConvergence_Pickaxe_Name,Weapon,,@Skin_WinterConvergence_Pickaxe_Description,EquippableTool+Axe+Pickaxe,,,,0,,,,,0,Skin_Pick,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,1hPickaxeWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_WinterConvergence_LoggingAxe,@Skin_WinterConvergence_LoggingAxe_Name,Weapon,,@Skin_WinterConvergence_LoggingAxe_Description,EquippableTool+Axe+LoggingAxe,,,,0,,,,,0,Skin_LoggingAxe,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,2hLoggingAxeWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_WinterConvergence_FishingPole,@Skin_WinterConvergence_FishingPole_Name,Weapon,,@Skin_WinterConvergence_FishingPole_Description,EquippableTool+FishingPole,,,,0,,,,,0,Skin_FishingPole,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,2hFishingPole_WinterConvergence,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_WinterConvergence_AzothScepter,@Skin_WinterConvergence_AzothScepter_Name,Weapon,,@Skin_WinterConvergence_AzothScepter_Description,Weapon+EquippableTool+Axe+AzothStaff,,,,0,,,,,0,Skin_AzothStaff,,,,,,,,,,,,,,,,,,0,0,0,UI_Tools,,,2hAzothScepterWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_Chest_WC_Cloak,@Skin_Chest_WC_Cloak_MasterName,Armor,,@Skin_Chest_WC_Cloak_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterwanderer_chest,f_winterwanderer_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2021
Skin_Chest_WinterConvergenceScales,@Skin_Chest_WinterConvergenceScales_MasterName,Armor,,@Skin_Chest_WinterConvergenceScales_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterConvergenceScales_chest,f_winterConvergenceScales_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Head_WinterConvergenceScales,@Skin_Head_WinterConvergenceScales_MasterName,Armor,,@Skin_Head_WinterConvergenceScales_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterConvergenceScales_head,f_winterConvergenceScales_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Legs_WinterConvergenceScales,@Skin_Legs_WinterConvergenceScales_MasterName,Armor,,@Skin_Legs_WinterConvergenceScales_Description,EquippableLegs,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterConvergenceScales_legs,f_winterConvergenceScales_legs,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Feet_WinterConvergenceScales,@Skin_Feet_WinterConvergenceScales_MasterName,Armor,,@Skin_Feet_WinterConvergenceScales_Description,EquippableFeet,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterConvergenceScales_feet,f_winterConvergenceScales_feet,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Hands_WinterConvergenceScales,@Skin_Hands_WinterConvergenceScales_MasterName,Armor,,@Skin_Hands_WinterConvergenceScales_Description,EquippableHands,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterConvergenceScales_gloves,f_winterConvergenceScales_gloves,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Chest_WinterWanderer2,@Skin_Chest_WinterWanderer2_MasterName,Armor,,@Skin_Chest_WinterWanderer2_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterwanderercloak_chest,f_winterwanderercloak_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Head_WinterWanderer,@Skin_Head_WinterWanderer_MasterName,Armor,,@Skin_Head_WinterWanderer_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterwanderer_head,f_winterwanderer_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Head_WinterWarrior,@Skin_Head_WinterWarrior_MasterName,Armor,,@Skin_Head_WinterWarrior_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterwarrior_head,f_winterwarrior_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Hands_WinterWarrior,@Skin_Hands_WinterWarrior_MasterName,Armor,,@Skin_Hands_WinterWarrior_Description,EquippableHands,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_winterwarrior_gloves,f_winterwarrior_gloves,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Flute_WinterConvergence,@Skin_Flute_WinterConvergence_MasterName,Weapon,,@Skin_Flute_WinterConvergence_Description,EquippableTool+InstrumentFlute,,,,0,,,,,0,2hInstrumentFluteT5,,,,,,,,,,,,,,,,,,0,0,0,UI_Instruments,,,AzothFluteWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Drum_WinterConvergence,@Skin_Drum_WinterConvergence_MasterName,Weapon,,@Skin_Drum_WinterConvergence_Description,EquippableTool+InstrumentDrums,,,,0,,,,,0,2hInstrumentDrumT5,,,,,,,,,,,,,,,,,,0,0,0,UI_Instruments,,,DrumsWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Guitar_WinterConvergence,@Skin_Guitar_WinterConvergence_MasterName,Weapon,,@Skin_Guitar_WinterConvergence_Description,EquippableTool+InstrumentGuitar,,,,0,,,,,0,2hInstrumentGuitarT5,,,,,,,,,,,,,,,,,,0,0,0,UI_Instruments,,,GuitarWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_UprightBass_WinterConvergence,@Skin_UprightBass_WinterConvergence_MasterName,Weapon,,@Skin_UprightBass_WinterConvergence_Description,EquippableTool+InstrumentUprightBass,,,,0,,,,,0,2hInstrumentUprightBassT5,,,,,,,,,,,,,,,,,,0,0,0,UI_Instruments,,,URBassWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Mandolin_WinterConvergence,@Skin_Mandolin_WinterConvergence_MasterName,Weapon,,@Skin_Mandolin_WinterConvergence_Description,EquippableTool+InstrumentMandolin,,,,0,,,,,0,2hInstrumentMandolinT5,,,,,,,,,,,,,,,,,,0,0,0,UI_Instruments,,,MandolinWinterConvergenceT5,,0,0,Items/Weapons/weapon,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,WinterConvergence_2022
Skin_Chest_Beekeeper_Spring,@Skin_Chest_Beekeeper_Spring_MasterName,Armor,,@Skin_Chest_Beekeeper_Spring_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_BeekeeperSpring_chest,f_BeekeeperSpring_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Head_Beekeeper_Spring,@Skin_Head_Beekeeper_Spring_MasterName,Armor,,@Skin_Head_Beekeeper_Spring_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_BeekeeperSpring_head,f_BeekeeperSpring_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Legs_Beekeeper_Spring,@Skin_Legs_Beekeeper_Spring_MasterName,Armor,,@Skin_Legs_Beekeeper_Spring_Description,EquippableLegs,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_BeekeeperSpring_legs,f_BeekeeperSpring_legs,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Feet_Beekeeper_Spring,@Skin_Feet_Beekeeper_Spring_MasterName,Armor,,@Skin_Feet_Beekeeper_Spring_Description,EquippableFeet,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_BeekeeperSpring_feet,f_BeekeeperSpring_feet,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Hands_Beekeeper_Spring,@Skin_Hands_Beekeeper_Spring_MasterName,Armor,,@Skin_Hands_Beekeeper_Spring_Description,EquippableHands,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_BeekeeperSpring_gloves,f_BeekeeperSpring_gloves,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Chest_Victorian_Spring,@Skin_Chest_Victorian_Spring_MasterName,Armor,,@Skin_Chest_Victorian_Spring_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_feminineVictorianLT5_chest,f_feminineVictorianLT5_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Head_Victorian_Spring,@Skin_Head_Victorian_Spring_MasterName,Armor,,@Skin_Head_Victorian_Spring_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_feminineVictorianLT5_head,f_feminineVictorianLT5_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Legs_Victorian_Spring,@Skin_Legs_Victorian_Spring_MasterName,Armor,,@Skin_Legs_Victorian_Spring_Description,EquippableLegs,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_feminineVictorianLT5_legs,f_feminineVictorianLT5_legs,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Feet_Victorian_Spring,@Skin_Feet_Victorian_Spring_MasterName,Armor,,@Skin_Feet_Victorian_Spring_Description,EquippableFeet,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_feminineVictorianLT5_feet,f_feminineVictorianLT5_feet,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Hands_Victorian_Spring,@Skin_Hands_Victorian_Spring_MasterName,Armor,,@Skin_Hands_Victorian_Spring_Description,EquippableHands,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_feminineVictorianLT5_gloves,f_feminineVictorianLT5_gloves,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,SpringtideBloom_2023
Skin_Mask_RabbitSeason,@Skin_Mask_RabbitSeason_MasterName,Armor,,@Skin_Mask_RabbitSeason_Description,EquippableHead,,,,1,,,,,0,GenericItemSkin,,,,,,,,,,,,,,,,,,0,0,0,,m_RabbitMask_head,f_RabbitMask_head,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,RabbitSeason_2023
Skin_Chest_Leaderboard,@Skin_Chest_Leaderboard_MasterName,Armor,,@Skin_Chest_Leaderboard_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_Leaderboard_chest,f_Leaderboard_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Rank1_Leaderboard,@Skin_Chest_Rank1_Leaderboard_MasterName,Armor,,@Skin_Chest_Rank1_Leaderboard_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_LeaderboardRank1_chest,f_LeaderboardRank1_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_LBClear_Barnacles,@Skin_Chest_LBClear_Barnacles_MasterName,Armor,,@Skin_Chest_LBClear_Barnacles_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_Leaderboardbarnaclescleartime_chest,f_Leaderboardbarnaclescleartime_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Rank1_LBClear_Barnacles,@Skin_Chest_Rank1_LBClear_Barnacles_MasterName,Armor,,@Skin_Chest_Rank1_LBClear_Barnacles_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_LeaderboardRank1barnaclescleartime_chest,f_LeaderboardRank1barnaclescleartime_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_LBScore_Barnacles,@Skin_Chest_LBScore_Barnacles_MasterName,Armor,,@Skin_Chest_LBScore_Barnacles_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_Leaderboardbarnaclesscore_chest,f_Leaderboardbarnaclesscore_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Rank1_LBScore_Barnacles,@Skin_Chest_Rank1_LBScore_Barnacles_MasterName,Armor,,@Skin_Chest_Rank1_LBScore_Barnacles_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_LeaderboardRank1barnaclesscore_chest,f_LeaderboardRank1barnaclesscore_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_LBClear_Brimstone,@Skin_Chest_LBClear_Brimstone_MasterName,Armor,,@Skin_Chest_LBClear_Brimstone_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_Leaderboardbrimstonecleartime_chest,f_Leaderboardbrimstonecleartime_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Rank1_LBClear_Brimstone,@Skin_Chest_Rank1_LBClear_Brimstone_MasterName,Armor,,@Skin_Chest_Rank1_LBClear_Brimstone_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_LeaderboardRank1brimstonecleartime_chest,f_LeaderboardRank1brimstonecleartime_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_LBScore_Brimstone,@Skin_Chest_LBScore_Brimstone_MasterName,Armor,,@Skin_Chest_LBScore_Brimstone_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_Leaderboardbrimstonescore_chest,f_Leaderboardbrimstonescore_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Rank1_LBScore_Brimstone,@Skin_Chest_Rank1_LBScore_Brimstone_MasterName,Armor,,@Skin_Chest_Rank1_LBScore_Brimstone_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,m_LeaderboardRank1brimstonescore_chest,f_LeaderboardRank1brimstonescore_chest,,,0,0,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
