SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,SpawnBeamCasterJoint,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,SecondaryProjectileLaunchMinZSpeeds,SecondaryProjectileLaunchMaxZSpeeds,SecondaryProjectileLaunchZOffset,IgnoreRotationForSecondaryProjectileLaunchZSpd,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
AI_Corruption_Explosion,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,5,0,5,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,EliteAffixDamageTable,Corruption_Explosion,,,,,Characters/SpellSlices/Elite_Corruption_Explosion,,,,
AI_Corruption_Pool,ApplyCurseL4,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,7000,,5,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/Elite_Corruption_Pool,,,,
Mutator Effects,,,,false,false,false,false,,false,false,false,false,false,,false,false,false,,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,,,,false,,,,false,false,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mut_SilenceArea,Mut_SilenceArea_Effect,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,10000,,10,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Cylinder,,false,true,true,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_SilenceArea,,,,
Mut_RotatingBeam,Mut_RotatingBeam_Damage,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,1.5,0,0,0,0,0,12,20,5,0,0,0,0,0,false,,0,0,10000,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_RotatingBeam,,,
Mut_ProjectileShield,,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,true,true,Enemy,Elemental,AoE,false,,Sphere,,false,false,true,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_ProjectileShield,,,,
Mut_Fir_AOE_1,Mut_Fir_AOE_1_Damage,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,10,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Cylinder,,false,true,true,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Fir_AOE_1,,,,
Mut_Fir_AOE_2,Mut_Fir_AOE_2_Damage,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,10,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Cylinder,,false,true,true,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Fir_AOE_1,,,,
Mut_Fir_Death,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,5,0,5,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,EliteAffixDamageTable,Mut_Fir_Death,,,,,Characters/Expeditions/Mutators/Mut_Fir_Death,,,,
Mut_Voi_Stacks_1,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,true,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,EliteAffixDamageTable,Mut_Voi_Stacks_1,,,,,Characters/Expeditions/Mutators/Mut_Voi_Stacks,,,,
Mut_Voi_Stacks_2,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,true,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,EliteAffixDamageTable,Mut_Voi_Stacks_2,,,,,Characters/Expeditions/Mutators/Mut_Voi_Stacks,,,,
Mut_Voi_Chain_1,Mut_Voi_Chain_1_Damage,,,false,true,false,false,,false,false,false,false,false,,false,false,false,,true,0,,0,0,5,0,0,0,0,0,0,0,0,0,0.30000001192092896,5,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,Chain,false,,Sphere,Lightning,true,false,false,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Voi_Chain_2,Mut_Voi_Chain_2_Damage,,,false,true,false,false,,false,false,false,false,false,,false,false,false,,true,0,,0,0,5,0,0,0,0,0,0,0,0,0,0.30000001192092896,5,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,Chain,false,,Sphere,Lightning,true,false,false,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Voi_Death,Mut_Voi_Death_Empower,,,false,false,false,false,,false,false,false,false,false,,false,false,false,,true,1500,,5,0,1,0,9,9,12,20,10,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,All,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Voi_Death,,,,
Mut_Nat_Pools_1,Mut_Nat_Pools_1_Damage,,,false,true,true,true,,false,false,true,false,false,,false,true,true,,false,-1,,1.5,0,0,0,0,0,12,20,15,0,0,0,0,0,false,,0,0,8000,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Pools,,,
Mut_Nat_Pools_2,Mut_Nat_Pools_2_Damage,,,false,true,true,true,,false,false,true,false,false,,false,true,true,,false,-1,,1.5,0,0,0,0,0,12,20,15,0,0,0,0,0,false,,0,0,8000,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Pools_2,,,
Mut_Nat_Crawler_1,,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,1.5,0,0,0,0,0,12,20,2,0,0,0,0,0,false,,0,0,15000,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Crawler,,,
Mut_Nat_Crawler_2,,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,1.5,0,0,0,0,0,12,20,2,0,0,0,0,0,false,,0,0,15000,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Crawler_2,,,
Mut_Nat_Death,Mut_Nat_Death_Effect,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,15000,,5,0,3,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Friend,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Nat_Death,Characters/Expeditions/Mutators/Mut_Nat_Crawler_2,,,
Mut_Ice_CloseZone_1,Mut_Ice_CloseZone_1_Damage,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,5,0,40,4,0,0,20,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,SquareToroid,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_CloseZone,,,,
Mut_Ice_CloseZone_2,Mut_Ice_CloseZone_2_Damage,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,5,0,40,4,0,0,20,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,SquareToroid,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_CloseZone,,,,
Mut_Ice_Death,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,5000,,5,0,5,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,EliteAffixDamageTable,Mut_Ice_Death,,,,,Characters/Expeditions/Mutators/Mut_Ice_Death,,,,
Mut_Ice_DeathFreeze,Mut_Ice_DeathFreeze_Slow,4,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,15000,,5,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_Death_Freeze,,,,
AI_Staggered_Telegraph,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,6000,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Ability,AoE,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/ai_stagger_telegraph,,,,
AI_Boss_Victory_Wipe,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,5000,,25,0,100,0,0,0,12,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,true,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,GenericBossDamageTable,Victory_Wipe,,,,,Characters/SpellSlices/ai_boss_wipe,,,,
AI_Boss_Ally_Wipe,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,5000,,25,0,100,0,0,0,12,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Friend,Elemental,AoE,false,,Sphere,,false,true,true,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,GenericBossDamageTable,Victory_Wipe,,,,,Items/Weapons/spell_aoe_leadership_enemy,,,,
AI_GraveDigger_Heal_Siphon_Projectile,,,,true,false,false,false,,false,false,false,true,true,,false,false,true,Celestial_Heal_AoE,false,200,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Friend,Celestial,Projectile,false,,,,false,true,false,false,false,,Siphon,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Items/Weapons/spell_proj_siphon,,Celestial_Heal_Siphon,,
AI_GraveDigger_Siphon,,,,false,true,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,,true,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,UndeadGravediggerDamageTable,Undead_GraveDigger_Siphon,,,,,Characters/SpellSlices/undead_gravedigger_siphon,,,,
AI_Spellcaster_Ranged_AOE,PoisonCloud,,,false,false,false,false,,false,false,false,false,false,,false,true,true,Elemental_Fire_AoE,false,1500,,5,0,6,0,0,0,30,5,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,Fire,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_ai_caster_aoe_base,,,,
Dryad_Ranged_AOE,PoisonCloud,,,false,false,false,false,,false,false,false,false,false,,false,true,true,Elemental_Fire_AoE,false,15000,,5,0,3,0,0,0,30,2.5,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/dryad_ranged_aoe,,,,
AI_Dynasty_Summoner_Execution_Sword,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,Elemental_Fire_AoE,false,25000,,5,0,3,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/dynasty_summoner_execution_sword,,,,
AI_Torso_Boss_Shrink,AI_Torso_Boss_ArenaShrink,,,false,false,false,false,,false,false,true,false,false,,false,true,true,Elemental_Fire_AoE,false,-1,,5,0,12,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/arenashrink,,,,
AI_Torso_Boss_Shrink_L_Tell,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,Elemental_Fire_AoE,false,-1,,5,0,12,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/arenashrink_tell_L,,,,
AI_Torso_Boss_Shrink_R_Tell,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,Elemental_Fire_AoE,false,-1,,5,0,12,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/arenashrink_tell_R,,,,
AI_Torso_Boss_Shrink_R,AI_Torso_Boss_ArenaShrink,,,false,false,false,false,,false,false,true,false,false,,false,true,true,Elemental_Fire_AoE,false,-1,,5,0,12,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/arenashrink_right,,,,
AI_OR_Boss_Aura,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,Elemental_Fire_AoE,false,25000,,5,0,3,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/or_boss_frost_aura,,,,
AI_OR_Ghost_Frozen_IceBomb,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,1000,,5,0,0,0,0,0,12,20,1.5,0,0,0,0,0,false,,0,0,750,0,,,,0,false,false,false,Enemy,Elemental,Meteor,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Meteor,,0,0,0,0,0,0,0,0,0,0,0,0,,,BaronessHainDamageTable,Spell_Frozen_Summon_Icicle,,,,,Characters/SpellSlices/spell_meteor_spawn_ice_bomb,Characters/SpellSlices/or_boss_ghost_frozen_ice_bomb,,,
AI_Naga_AngryEarth_Poison_Trail,,,,false,true,true,true,,false,false,true,false,false,,false,true,true,,false,-1,,5,0,1,0,0,0,0,5,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,Burnout,false,,Sphere,,false,true,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,,AI_Naga_AngryEarth_Poison_Trail_Spawn,,
AI_Naga_AngryEarth_Poison_Trail_Spawn,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,,false,8500,,5,0,2,0,0,0,3,5,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,false,false,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/Poison_Trail,,,,
AI_Naga_AngryEarth_Channel_Poison,AI_Naga_AngryEarth_Channel_Poison,,,false,true,false,false,,false,false,false,false,false,,false,false,false,,true,4000,,5,0,80,0,0,0,12,20,20,0,0,0,4,1,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,Chain,true,,Sphere,,false,false,false,true,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,cFX_npc_AngryEarthNaga.Poison_Pool_Beam,,Items/Weapons/spell_aoe_leadership_enemy,,,,
AI_Naga_AngryEarth_Poison_Pool,,,,false,false,false,false,,false,false,false,false,false,,false,true,true,Elemental_Fire_AoE,false,25000,,5,0,3,0,0,0,30,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,,,false,true,false,false,false,,AI_Ranged_AOE,Basic,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Characters/SpellSlices/naga_angryEarth_poison_pool,,,,
AI_Naga_AngryEarth_MassiveAOE,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,10000,,5,0,50,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,NagaAngryEarthDamageTable,Massive_AOE,,,,,Characters/SpellSlices/Naga_AngryEarth_MassiveAOE,,,,
AI_Naga_AngryEarth_SummonBoulder,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,false,false,,AI_Naga_AngryEarth,Boulder,,0,0,0,0,0,0,0,0,0,0,-4,0,,,,,,,,,Characters/SpellSlices/Naga_AngryEarth_DestructibleBoulder,,,,
AI_Naga_AngryEarth_Victory,,,,false,false,false,false,,false,false,true,false,false,,false,true,true,,false,10000,,5,0,30,0,0,0,0,0,0,0,0,0,0,0,false,,0,0,,0,,,,0,false,false,false,Enemy,Elemental,AoE,false,,Sphere,,false,true,false,true,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,NagaAngryEarthDamageTable,Massive_AOE,,,,,Characters/SpellSlices/Naga_AngryEarth_Victory,,,,
