AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,IsStackableAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnEventPassiveConditionsPass,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnDeath,OnDeathsDoor,OnHasDied,OnBlockBreak,OnTargetBlockBreak,OnTargetSet,OnContributedKill,OnHealthChanged,OnStatusEffectApplied,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,ResetConsecutiveOnSuccess,DamageIsRanged,DamageIsMelee,AllowSelfDamageForHitEvents,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,CheckOwnedStatusEffects,StatusEffect,StatusEffectCategories,StatusEffectStackSize,StatusEffectComparison,DontHaveStatusEffect,StatusEffectBeingApplied,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,LinearlyScaleToDistance,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,ManaRate,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,PowerLevelOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SelfApplyStatusEffectDurations,DoNotUnequipSelfAppliedSE,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
AI_Frost_Aura,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_FrostAura,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Armored,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Brutal,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0.25,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Shattering,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0.5,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Orbit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Orbit,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Turret,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Turret,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_ProjectileShield,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_ProjectileShield,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_RotatingBeam,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_RotatingBeam,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Geyser,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Geyser,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Slime,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Slime,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Haunted,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Haunted,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Corruption_Pool,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Corruption_Pool,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Infest,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,"Heavy,Magic",,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,AI_Infest,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_PoisonPool,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_PoisonPool,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_PoisonOnHit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,"Heavy,Magic",,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,AI_PoisonOnHit_Damage,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_HealAuraOnHit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_HealAuraOnHit,,,0,false,,,false,0,0,,,,,0,,,,1,,,,,,,,,false
Mut_Disease_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,,,Mut_Disease_Timer,,0,NotEqual,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,"Mut_Disease_1,Mut_Disease_Timer",0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Disease_2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,,,Mut_Disease_Timer,,0,NotEqual,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,"Mut_Disease_2,Mut_Disease_Timer",0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_RotatingBeam,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,Mut_RotatingBeam,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_StaminaDamage_1,,,,,,,,,Mut_StaminaDamage_1_BlockBreak,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0.4000000059604645,0,,,,0.4000000059604645,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_StaminaDamage_1_BlockBreak,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_StaminaDamage_1_BlockBreak_Bleed,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_StaminaDamage_2,,,,,,,,,Mut_StaminaDamage_2_BlockBreak,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0.75,0,,,,0.75,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_StaminaDamage_2_BlockBreak,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_StaminaDamage_2_BlockBreak_Bleed,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Enrage,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,Mut_Enrage_Timer,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,"Mut_Enrage_Effect,Mut_Enrage_Timer",,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Enrage_Cooldown,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,Mut_Enrage_Timer,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,Mut_Enrage_Effect,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_ManaDamage_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,"Light,Heavy,Magic",,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_ManaDamage_1,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_ManaDamage_2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,"Light,Heavy,Magic",,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_ManaDamage_2,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_ManaThorns_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_ManaThorns_1_Damage,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_ManaThorns_2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_ManaThorns_2_Damage,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_SilenceArea,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,Mut_SilenceArea_Timer,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,Mut_SilenceArea_Timer,Mut_SilenceArea_Cast,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_LifeSteal_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0.20000000298023224,,,,,,,false,,,,,,,Mut_LifeSteal_VFXSelf,Mut_LifeSteal_VFXTarget,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_LifeSteal_2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0.4000000059604645,,,,,,,false,,,,,,,Mut_LifeSteal_VFXSelf,Mut_LifeSteal_VFXTarget,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_ProjectileShield,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,Mut_ProjectileShield,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Fir_Burn_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,,,Mut_Fir_Burn_Timer,,0,NotEqual,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,"Mut_Fir_Burn_1_Effect,Mut_Fir_Burn_Timer",0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Fir_Burn_2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,,,Mut_Fir_Burn_Timer,,0,NotEqual,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,"Mut_Fir_Burn_2_Effect,Mut_Fir_Burn_Timer",0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Fir_AOE_1,,,,,,,,,Mut_Fir_AOE_VFX,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,Mut_Fir_AOE_Timer,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,Mut_Fir_AOE_Timer,Mut_Fir_AOE_1_Cast,0,false,,,false,0,0,AbilitySpecific,Mut_Fir_AOE_VFX,,,0,,,,0,,,,,,,,,false
Mut_Fir_AOE_2,,,,,,,,,Mut_Fir_AOE_VFX,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,Mut_Fir_AOE_Timer,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,Mut_Fir_AOE_Timer,Mut_Fir_AOE_2_Cast,0,false,,,false,0,0,AbilitySpecific,Mut_Fir_AOE_VFX,,,0,,,,0,,,,,,,,,false
Mut_Fir_Death,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,Mut_Fir_Death,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Mut_Voi_Stacks_1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,Mut_Voi_Stacks_1_Apply,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
